model,target,n_valid,nmae,one_minus_nmae,ficr,within_6pct_rate,between_6_and_8pct_rate,over_8pct_rate
lightgbm,kpx_group_1,2443,0.12051227759789823,0.8794877224021018,0.37310882058228306,0.3327875562832583,0.10151453131395825,0.5656979124027834
lightgbm,kpx_group_2,2397,0.1180990315708095,0.8819009684291905,0.41602520172076496,0.3454317897371715,0.10554860241969129,0.5490196078431373
lightgbm,kpx_group_3,2159,0.1418520426111401,0.85814795738886,0.2899078692025541,0.2667901806391848,0.08707735062528948,0.6461324687355257
catboost,kpx_group_1,2443,0.12201769906615684,0.8779823009338432,0.3442302330471546,0.3176422431436758,0.09373720835038886,0.5886205485059354
catboost,kpx_group_2,2397,0.11874245646900954,0.8812575435309905,0.4043852251720201,0.3375052148518982,0.09762202753441802,0.5648727576136837
catboost,kpx_group_3,2159,0.13939668225912957,0.8606033177408704,0.3071570336945781,0.27420101899027327,0.09448818897637795,0.6313107920333487
tabm,kpx_group_1,2443,0.11813555664277477,0.8818644433572252,0.34568779276300143,0.32255423659435123,0.10233319688907082,0.5751125665165779
tabm,kpx_group_2,2397,0.11471006647539213,0.8852899335246078,0.3950908193704352,0.33708802670004173,0.1047142261159783,0.55819774718398
tabm,kpx_group_3,2159,0.1368186088702397,0.8631813911297603,0.32383623948259516,0.2918017600741084,0.08846688281611857,0.619731357109773
realmlp,kpx_group_1,2443,0.12007508812708466,0.8799249118729153,0.36309100732481464,0.30413426115431846,0.11051985264019648,0.5853458862054851
realmlp,kpx_group_2,2397,0.11553523828289125,0.8844647617171087,0.428015160452254,0.33917396745932415,0.10513141426783479,0.5556946182728411
realmlp,kpx_group_3,2159,0.14014949444879285,0.8598505055512071,0.30887055121293294,0.26169522927281147,0.09078276980083372,0.6475220009263548
xrfm,kpx_group_1,2443,0.1290084021078918,0.8709915978921082,0.3240166347118271,0.30167826442898077,0.08718788374948834,0.6111338518215309
xrfm,kpx_group_2,2397,0.11945265620663642,0.8805473437933635,0.3862131324284229,0.33917396745932415,0.10095953274926991,0.5598664997914059
xrfm,kpx_group_3,2159,0.1494000521841702,0.8505999478158298,0.27981326907989307,0.25984251968503935,0.08615099583140343,0.6540064844835572
