model,target,n_fit_rows,best_iteration,max_training_length,loss_name,selection_metric,elapsed_seconds
lightgbm,kpx_group_1,17411,526,,mae,mae,8.327415899839252
lightgbm,kpx_group_2,17412,364,,mae,mae,8.4558215001598
lightgbm,kpx_group_3,8749,425,,mae,mae,7.328852199949324
catboost,kpx_group_1,17411,338,,mae,mae,54.90304889995605
catboost,kpx_group_2,17412,332,,mae,mae,59.95718519994989
catboost,kpx_group_3,8749,194,,mae,mae,33.93838049983606
tabm,kpx_group_1,17411,15,20.0,mse,competition-score,650.6905026000459
tabm,kpx_group_2,17412,20,20.0,mse,competition-score,614.1705462001264
tabm,kpx_group_3,8749,14,20.0,mse,competition-score,325.7736603000667
realmlp,kpx_group_1,17411,9,20.0,mae,competition-score,299.895723399939
realmlp,kpx_group_2,17412,10,20.0,mae,competition-score,297.5228546001017
realmlp,kpx_group_3,8749,5,20.0,mae,competition-score,123.97731330012903
xrfm,kpx_group_1,17411,1,8.0,kernel-ridge-objective,competition-score,51.71040630014613
xrfm,kpx_group_2,17412,1,8.0,kernel-ridge-objective,competition-score,54.96266749990173
xrfm,kpx_group_3,8749,1,8.0,kernel-ridge-objective,competition-score,15.576301800087094
