model,target,step,train_loss,validation_loss,validation_score
realmlp,all,1,1.0172874331474304,0.6830509305000305,0.47370466589927673
realmlp,kpx_group_1,1,1.0220146652530222,0.710568904876709,0.43662068247795105
realmlp,kpx_group_2,1,0.9966402553460177,0.6408966779708862,0.5319129824638367
realmlp,kpx_group_3,1,1.0332073586828567,0.6976871490478516,0.45258036255836487
realmlp,all,2,0.9543334044077817,0.6358184814453125,0.5057544708251953
realmlp,kpx_group_1,2,0.9477324056274751,0.6980018615722656,0.4527589976787567
realmlp,kpx_group_2,2,0.9295556632911458,0.5747409462928772,0.5489627122879028
realmlp,kpx_group_3,2,0.9857121486874187,0.6347126364707947,0.5155417323112488
realmlp,all,3,0.9282540337127798,0.7046627998352051,0.44041749835014343
realmlp,kpx_group_1,3,0.9241793322212556,0.738834023475647,0.41223815083503723
realmlp,kpx_group_2,3,0.8953845921684714,0.6790488362312317,0.4562872648239136
realmlp,kpx_group_3,3,0.9651981785016901,0.6961055397987366,0.4527270793914795
realmlp,all,4,0.905203393277,0.6581692099571228,0.4845324456691742
realmlp,kpx_group_1,4,0.901091002366122,0.7278100848197937,0.42599043250083923
realmlp,kpx_group_2,4,0.8661956050816704,0.5764353275299072,0.5566494464874268
realmlp,kpx_group_3,4,0.9483235618647408,0.6702622175216675,0.4709573984146118
realmlp,all,5,0.8712859048562891,0.68756502866745,0.46066534519195557
realmlp,kpx_group_1,5,0.8708984448629267,0.5639458298683167,0.5778549313545227
realmlp,kpx_group_2,5,0.8210791375707177,0.6297580003738403,0.5354945659637451
realmlp,kpx_group_3,5,0.9218801207402173,0.8689910173416138,0.26864662766456604
realmlp,all,6,0.8231262538362952,0.6739060282707214,0.47264719009399414
realmlp,kpx_group_1,6,0.8126455045798245,0.6921944618225098,0.4596601128578186
realmlp,kpx_group_2,6,0.7904451971544939,0.59628826379776,0.5349148511886597
realmlp,kpx_group_3,6,0.8662880588980282,0.733235239982605,0.42336657643318176
realmlp,all,7,0.7710247180041145,0.6417487263679504,0.5049060583114624
realmlp,kpx_group_1,7,0.7598414657747045,0.6827276349067688,0.4798758029937744
realmlp,kpx_group_2,7,0.7398022649919286,0.5648581385612488,0.5558212399482727
realmlp,kpx_group_3,7,0.8134304048383937,0.6776604652404785,0.4790211617946625
realmlp,all,8,0.7237206557217766,0.596149206161499,0.5372774004936218
realmlp,kpx_group_1,8,0.7143028185648077,0.633400022983551,0.520022988319397
realmlp,kpx_group_2,8,0.6864608140552745,0.50157630443573,0.5951036214828491
realmlp,kpx_group_3,8,0.7703983275329366,0.6534712910652161,0.49670547246932983
realmlp,all,9,0.6849094716941609,0.5838965773582458,0.5550047755241394
realmlp,kpx_group_1,9,0.6698677504763884,0.6081380248069763,0.5455666780471802
realmlp,kpx_group_2,9,0.6634030666421441,0.5275360941886902,0.5874597430229187
realmlp,kpx_group_3,9,0.721457599717028,0.6160157918930054,0.5319878458976746
realmlp,all,10,0.649566014899927,0.5462267994880676,0.5775307416915894
realmlp,kpx_group_1,10,0.6411145233056125,0.5263540148735046,0.5994528532028198
realmlp,kpx_group_2,10,0.6114369902540656,0.49234384298324585,0.6075382232666016
realmlp,kpx_group_3,10,0.696146532016642,0.6199825406074524,0.5256011486053467
realmlp,all,11,0.6260406909620061,0.5637878179550171,0.5734662413597107
realmlp,kpx_group_1,11,0.6160132315228967,0.5862753391265869,0.5615277290344238
realmlp,kpx_group_2,11,0.5956233520718182,0.4759245216846466,0.6311277151107788
realmlp,kpx_group_3,11,0.66648549192092,0.6291636824607849,0.5277431011199951
realmlp,all,12,0.6050950709511252,0.5166566967964172,0.6059877872467041
realmlp,kpx_group_1,12,0.5973439768833273,0.5071994066238403,0.618458092212677
realmlp,kpx_group_2,12,0.5766465891810024,0.4540705680847168,0.6436225175857544
realmlp,kpx_group_3,12,0.6412946380236569,0.5887001752853394,0.5558826327323914
realmlp,all,13,0.59728583167581,0.5210383534431458,0.6036162376403809
realmlp,kpx_group_1,13,0.5933676940553329,0.521907389163971,0.6060619354248047
realmlp,kpx_group_2,13,0.5680945086128572,0.45161283016204834,0.6465800404548645
realmlp,kpx_group_3,13,0.6303952792111565,0.589594841003418,0.5582067966461182
realmlp,all,14,0.5938767396351871,0.5170195698738098,0.6070353388786316
realmlp,kpx_group_1,14,0.5909917950630188,0.5137848854064941,0.614345908164978
realmlp,kpx_group_2,14,0.5662070758202497,0.45175379514694214,0.6476105451583862
realmlp,kpx_group_3,14,0.6244313471457538,0.5855200290679932,0.559149444103241
realmlp,all,15,0.5952188758289113,0.5216850638389587,0.6040011048316956
realmlp,kpx_group_1,15,0.5907457663732416,0.520418643951416,0.6093413829803467
realmlp,kpx_group_2,15,0.5647142082452774,0.4511289894580841,0.6489375233650208
realmlp,kpx_group_3,15,0.6301966388435924,0.5935075879096985,0.553724467754364
realmlp,all,16,0.5951998584410724,0.514662504196167,0.6070409417152405
realmlp,kpx_group_1,16,0.5928824044325772,0.5013644695281982,0.6202143430709839
realmlp,kpx_group_2,16,0.5644679788280936,0.45346346497535706,0.6436536908149719
realmlp,kpx_group_3,16,0.6282492008279351,0.5891596078872681,0.5572547316551208
realmlp,all,17,0.5993833051008337,0.5073564052581787,0.6128851175308228
realmlp,kpx_group_1,17,0.5945810789571089,0.4923546612262726,0.6273382902145386
realmlp,kpx_group_2,17,0.56931213508634,0.4481312036514282,0.6513441205024719
realmlp,kpx_group_3,17,0.6342566959998187,0.5815833210945129,0.559972882270813
realmlp,all,18,0.605363658245872,0.5313493609428406,0.5986382365226746
realmlp,kpx_group_1,18,0.5999640480560415,0.5338384509086609,0.6026952862739563
realmlp,kpx_group_2,18,0.5688954916070489,0.453266978263855,0.647307276725769
realmlp,kpx_group_3,18,0.6472314403337591,0.6069425344467163,0.5459121465682983
realmlp,all,19,0.6086019426584244,0.5086779594421387,0.6104055047035217
realmlp,kpx_group_1,19,0.5982946630786447,0.5309699773788452,0.5995762348175049
realmlp,kpx_group_2,19,0.5718353662420722,0.44993966817855835,0.6496865749359131
realmlp,kpx_group_3,19,0.6556757907657063,0.545124351978302,0.581953763961792
realmlp,all,20,0.6120542287826538,0.5237764716148376,0.6008026003837585
realmlp,kpx_group_1,20,0.6030616874203962,0.5320572853088379,0.6000784635543823
realmlp,kpx_group_2,20,0.5721285632428001,0.44960394501686096,0.6501269340515137
realmlp,kpx_group_3,20,0.6609724479563096,0.5896680355072021,0.5522022843360901
realmlp,all,21,0.6081877613768858,0.5131162405014038,0.6055182814598083
realmlp,kpx_group_1,21,0.5957409415174933,0.45152562856674194,0.6553835868835449
realmlp,kpx_group_2,21,0.5738667784368291,0.48313796520233154,0.6134705543518066
realmlp,kpx_group_3,21,0.6549555790774962,0.6046851873397827,0.5477007627487183
realmlp,all,22,0.6064597788979026,0.5289629697799683,0.5973407626152039
realmlp,kpx_group_1,22,0.5960335933110293,0.5369457006454468,0.5944198369979858
realmlp,kpx_group_2,22,0.5666547899737078,0.4582652151584625,0.6395140886306763
realmlp,kpx_group_3,22,0.6566909314954982,0.5916780829429626,0.5580884218215942
realmlp,all,23,0.5960825821932625,0.5220515131950378,0.6015422940254211
realmlp,kpx_group_1,23,0.5910474465173834,0.5126861333847046,0.6132522225379944
realmlp,kpx_group_2,23,0.5538205741082921,0.4572185277938843,0.6442870497703552
realmlp,kpx_group_3,23,0.6433797092998729,0.5962496995925903,0.5470876693725586
realmlp,all,24,0.5844003356554929,0.5323012471199036,0.5931788086891174
realmlp,kpx_group_1,24,0.5772996790268842,0.5271479487419128,0.598595142364502
realmlp,kpx_group_2,24,0.5387675604399513,0.45590096712112427,0.6400841474533081
realmlp,kpx_group_3,24,0.6371337631169487,0.6138547658920288,0.5408572554588318
realmlp,all,25,0.5768520016880596,0.5310055613517761,0.5944746136665344
realmlp,kpx_group_1,25,0.57083600145929,0.5294572114944458,0.5969702005386353
realmlp,kpx_group_2,25,0.5324593361686257,0.4462706446647644,0.6505290269851685
realmlp,kpx_group_3,25,0.6272606656831854,0.6172886490821838,0.5359246134757996
realmlp,all,26,0.5693675235790365,0.5142561197280884,0.6101085543632507
realmlp,kpx_group_1,26,0.5619471564012415,0.5513442158699036,0.5881608724594116
realmlp,kpx_group_2,26,0.5279717607533231,0.43633508682250977,0.661799430847168
realmlp,kpx_group_3,26,0.6181836329838809,0.5550891757011414,0.5803652405738831
realmlp,all,27,0.5569416503695881,0.497776597738266,0.6160950064659119
realmlp,kpx_group_1,27,0.5545146447770736,0.45339149236679077,0.653333306312561
realmlp,kpx_group_2,27,0.5162186429781073,0.4716907739639282,0.6257134675979614
realmlp,kpx_group_3,27,0.6000916694893557,0.5682475566864014,0.5692381858825684
realmlp,all,28,0.5508749055511811,0.5098538398742676,0.6109651327133179
realmlp,kpx_group_1,28,0.5450412341777016,0.5090141892433167,0.613183856010437
realmlp,kpx_group_2,28,0.5092960398863343,0.44212597608566284,0.6535450220108032
realmlp,kpx_group_3,28,0.5982874307562324,0.578421413898468,0.5661665201187134
realmlp,all,29,0.5470677789519814,0.5161722898483276,0.6097010970115662
realmlp,kpx_group_1,29,0.5425744591390386,0.5268792510032654,0.6067289113998413
realmlp,kpx_group_2,29,0.5057013595805449,0.4360155463218689,0.6604837775230408
realmlp,kpx_group_3,29,0.5929275260252111,0.5856220722198486,0.561890721321106
realmlp,all,30,0.537133631460807,0.5026618838310242,0.6156911253929138
realmlp,kpx_group_1,30,0.5340107688132454,0.4956885874271393,0.6255354881286621
realmlp,kpx_group_2,30,0.49911995407413035,0.4517633616924286,0.6478548049926758
realmlp,kpx_group_3,30,0.5782701714950449,0.5605336427688599,0.5736830830574036
realmlp,all,31,0.5303337740547517,0.5002920031547546,0.6194515228271484
realmlp,kpx_group_1,31,0.5269106157562312,0.5129363536834717,0.6146801710128784
realmlp,kpx_group_2,31,0.4904220419771531,0.43786874413490295,0.6585885882377625
realmlp,kpx_group_3,31,0.5736686324372011,0.5500708222389221,0.5850858688354492
realmlp,all,32,0.5223297459237716,0.46998751163482666,0.637163519859314
realmlp,kpx_group_1,32,0.5212149466661846,0.44417062401771545,0.6606593132019043
realmlp,kpx_group_2,32,0.483700288569226,0.44396668672561646,0.6496201753616333
realmlp,kpx_group_3,32,0.5620739942087847,0.5218251943588257,0.6012110710144043
realmlp,all,33,0.5168766107629327,0.47113463282585144,0.6393910050392151
realmlp,kpx_group_1,33,0.5140465029022273,0.4675310552120209,0.6497386693954468
realmlp,kpx_group_2,33,0.47944483292453427,0.44479718804359436,0.6502965688705444
realmlp,kpx_group_3,33,0.55713850172127,0.5010756850242615,0.6181377172470093
realmlp,all,34,0.5111360308878562,0.4664557874202728,0.6432439684867859
realmlp,kpx_group_1,34,0.5109166884246994,0.4431280195713043,0.6657706499099731
realmlp,kpx_group_2,34,0.4709649546181454,0.43479084968566895,0.6613063812255859
realmlp,kpx_group_3,34,0.5515264369109097,0.5214484930038452,0.6026548743247986
realmlp,all,35,0.5030302475480473,0.4849015772342682,0.6290292739868164
realmlp,kpx_group_1,35,0.5017255719970254,0.47758710384368896,0.6406534910202026
realmlp,kpx_group_2,35,0.4663375190952245,0.4387457072734833,0.6570753455162048
realmlp,kpx_group_3,35,0.5410276502370834,0.5383718609809875,0.5893589854240417
realmlp,all,36,0.49939774678033944,0.463843435049057,0.6425763964653015
realmlp,kpx_group_1,36,0.4980312020463102,0.4503769278526306,0.6599851846694946
realmlp,kpx_group_2,36,0.4625520298586172,0.445445716381073,0.6484662890434265
realmlp,kpx_group_3,36,0.5376099979176241,0.49570775032043457,0.6192776560783386
realmlp,all,37,0.4951568990945816,0.4652346670627594,0.6424346566200256
realmlp,kpx_group_1,37,0.49454937217866674,0.44524961709976196,0.6646870970726013
realmlp,kpx_group_2,37,0.45845398087711897,0.4481634497642517,0.6480594873428345
realmlp,kpx_group_3,37,0.5324673394069952,0.5022907853126526,0.6145573258399963
realmlp,all,38,0.491498948458363,0.46577373147010803,0.6414830088615417
realmlp,kpx_group_1,38,0.4925404256757568,0.4435528516769409,0.6649703979492188
