model,target,step,train_loss,validation_loss,validation_score
realmlp,all,1,1.0073987473459804,0.6872242093086243,0.4709893465042114
realmlp,kpx_group_1,1,1.0089934915304184,0.701494574546814,0.45019328594207764
realmlp,kpx_group_2,1,1.0025520149399252,0.6780655980110168,0.4662354588508606
realmlp,kpx_group_3,1,1.0106507618637646,0.682112455368042,0.49653926491737366
realmlp,all,2,0.9564355795874315,0.6856918931007385,0.476727157831192
realmlp,kpx_group_1,2,0.9470353880349327,0.6895607113838196,0.49486416578292847
realmlp,kpx_group_2,2,0.9423554232891869,0.6414681077003479,0.505366325378418
realmlp,kpx_group_3,2,0.9799159011420082,0.7260468602180481,0.429951012134552
realmlp,all,3,0.9416233520297443,0.6794795989990234,0.5085310339927673
realmlp,kpx_group_1,3,0.9395037477507311,0.7202801704406738,0.48718029260635376
realmlp,kpx_group_2,3,0.9234532985617133,0.5827286243438721,0.5541765689849854
realmlp,kpx_group_3,3,0.9619130124064053,0.7354299426078796,0.4842362701892853
realmlp,all,4,0.9192866639179342,0.749499499797821,0.41843047738075256
realmlp,kpx_group_1,4,0.9067962344954995,0.642365574836731,0.508314847946167
realmlp,kpx_group_2,4,0.8981334681020063,0.7917640209197998,0.39928728342056274
realmlp,kpx_group_3,4,0.9529302672428244,0.8143686652183533,0.3476894199848175
realmlp,all,5,0.8903622110100353,0.7111018300056458,0.4929161071777344
realmlp,kpx_group_1,5,0.8878359435235753,0.6177605986595154,0.5560740232467651
realmlp,kpx_group_2,5,0.8505563394111746,0.7037771344184875,0.45230919122695923
realmlp,kpx_group_3,5,0.9326943483422784,0.8117678761482239,0.47036516666412354
realmlp,all,6,0.8384006882415098,0.6054377555847168,0.5290635824203491
realmlp,kpx_group_1,6,0.8239525337429607,0.5841699838638306,0.5390320420265198
realmlp,kpx_group_2,6,0.812560185790062,0.622130811214447,0.515089750289917
realmlp,kpx_group_3,6,0.878689351327279,0.6100125312805176,0.5330690145492554
realmlp,all,7,0.7823218983762404,0.6575062870979309,0.49622321128845215
realmlp,kpx_group_1,7,0.771494415753028,0.6226810216903687,0.5269473791122437
realmlp,kpx_group_2,7,0.7680532862158382,0.6619277000427246,0.4915468990802765
realmlp,kpx_group_3,7,0.8074179905302384,0.687910258769989,0.4701753854751587
realmlp,all,8,0.7407451403491637,0.6237558722496033,0.5283820629119873
realmlp,kpx_group_1,8,0.7208587956779143,0.6171151995658875,0.5322362184524536
realmlp,kpx_group_2,8,0.7197820649427527,0.6159033179283142,0.5244104266166687
realmlp,kpx_group_3,8,0.7815945577972075,0.6382490396499634,0.5284996032714844
realmlp,all,9,0.6975698295761558,0.6178485751152039,0.5313183665275574
realmlp,kpx_group_1,9,0.6832070955458809,0.6204303503036499,0.5348961353302002
realmlp,kpx_group_2,9,0.6745418485473184,0.5847280025482178,0.5487704277038574
realmlp,kpx_group_3,9,0.7349605586598901,0.6483873724937439,0.5102885961532593
realmlp,all,10,0.6544135458329144,0.5542182922363281,0.5757415890693665
realmlp,kpx_group_1,10,0.6431987767710405,0.5742154121398926,0.5701981782913208
realmlp,kpx_group_2,10,0.630018537535387,0.47752025723457336,0.620768666267395
realmlp,kpx_group_3,10,0.6900233030319214,0.6109191179275513,0.5362578630447388
realmlp,all,11,0.6256123930215836,0.5535150170326233,0.5797634720802307
realmlp,kpx_group_1,11,0.6191278722356347,0.5994806289672852,0.5523180365562439
realmlp,kpx_group_2,11,0.6036965312326655,0.4698799252510071,0.6361335515975952
realmlp,kpx_group_3,11,0.6540127694606781,0.5911845564842224,0.550838828086853
realmlp,all,12,0.6076494613114525,0.5374071002006531,0.5926323533058167
realmlp,kpx_group_1,12,0.6007949052488103,0.5641443729400635,0.5790329575538635
realmlp,kpx_group_2,12,0.5845423165489646,0.4580351710319519,0.6452734470367432
realmlp,kpx_group_3,12,0.6376111744081273,0.5900416970252991,0.5535906553268433
realmlp,all,13,0.5970427674405715,0.5261525511741638,0.5993446707725525
realmlp,kpx_group_1,13,0.5914200184976354,0.5380538702011108,0.597067654132843
realmlp,kpx_group_2,13,0.5764070775579003,0.45783478021621704,0.6419810652732849
realmlp,kpx_group_3,13,0.6233011992538676,0.5825690031051636,0.55898517370224
realmlp,all,14,0.5956475208787357,0.5246763825416565,0.6001943945884705
realmlp,kpx_group_1,14,0.5915430889410132,0.539374053478241,0.5951513051986694
realmlp,kpx_group_2,14,0.5740972433020087,0.4564857482910156,0.6435596942901611
realmlp,kpx_group_3,14,0.6213022312697243,0.5781694054603577,0.5618721842765808
realmlp,all,15,0.5944818950751248,0.5200117230415344,0.6054086089134216
realmlp,kpx_group_1,15,0.5898589071105508,0.5384821891784668,0.5975651144981384
realmlp,kpx_group_2,15,0.5739954525933546,0.4565977454185486,0.6445053815841675
realmlp,kpx_group_3,15,0.6195913079906913,0.5649553537368774,0.574155330657959
realmlp,all,16,0.597227378803141,0.5382118225097656,0.5916128754615784
realmlp,kpx_group_1,16,0.5906485827530131,0.5854554176330566,0.5614640712738037
realmlp,kpx_group_2,16,0.5742985194220263,0.4751010835170746,0.634935736656189
realmlp,kpx_group_3,16,0.6267350403701558,0.5540788769721985,0.5784386992454529
realmlp,all,17,0.6021818886784946,0.5540139675140381,0.5795839428901672
realmlp,kpx_group_1,17,0.597404823583715,0.5882444977760315,0.5591548681259155
realmlp,kpx_group_2,17,0.5762606447233873,0.48548221588134766,0.625166118144989
realmlp,kpx_group_3,17,0.6328802038641537,0.5883153080940247,0.5544308423995972
realmlp,all,18,0.6065904769827338,0.536766767501831,0.5866842865943909
realmlp,kpx_group_1,18,0.5957503537921345,0.542517364025116,0.5909977555274963
