model,target,step,train_loss,validation_loss,validation_score
realmlp,all,1,1.0100462796056973,0.7149996757507324,0.4386771619319916
realmlp,kpx_group_1,1,1.0185104696189655,0.7324522137641907,0.4314626157283783
realmlp,kpx_group_2,1,0.9926829636096954,0.6772698163986206,0.46776485443115234
realmlp,kpx_group_3,1,1.0189454476622974,0.7352770566940308,0.41680392622947693
realmlp,all,2,0.9447072016842225,0.699038028717041,0.47539791464805603
realmlp,kpx_group_1,2,0.9467429641415092,0.717515230178833,0.4361182451248169
realmlp,kpx_group_2,2,0.9232633271638084,0.7223523259162903,0.43663614988327026
realmlp,kpx_group_3,2,0.9641153032288832,0.6572465300559998,0.5534392595291138
realmlp,all,3,0.9209426141837064,0.7553882598876953,0.3944244086742401
realmlp,kpx_group_1,3,0.9258910961010877,0.7606908679008484,0.39211347699165344
realmlp,kpx_group_2,3,0.8940998736549827,0.6649209856987,0.48776668310165405
realmlp,kpx_group_3,3,0.9428368955850601,0.8405529856681824,0.30339309573173523
realmlp,all,4,0.8872187488219317,0.6489688754081726,0.530430793762207
realmlp,kpx_group_1,4,0.8862579885651084,0.5218801498413086,0.5860735774040222
realmlp,kpx_group_2,4,0.8599666988148409,0.6570368409156799,0.5248497128486633
realmlp,kpx_group_3,4,0.9154315494439181,0.7679896950721741,0.48036912083625793
realmlp,all,5,0.8568718152887681,0.6932265162467957,0.46046069264411926
realmlp,kpx_group_1,5,0.8650553761159673,0.7194544672966003,0.43460795283317566
realmlp,kpx_group_2,5,0.8186659812927246,0.7016834616661072,0.4482746124267578
realmlp,kpx_group_3,5,0.886894099852618,0.6585416197776794,0.4984995126724243
realmlp,all,6,0.8183269220239976,0.6100093722343445,0.5327791571617126
realmlp,kpx_group_1,6,0.8113386666073519,0.6751096248626709,0.48092159628868103
realmlp,kpx_group_2,6,0.7897976943675209,0.5372093915939331,0.5753316283226013
realmlp,kpx_group_3,6,0.8538443919490365,0.6177091002464294,0.5420841574668884
realmlp,all,7,0.7657319833250607,0.6490792632102966,0.48673000931739807
realmlp,kpx_group_1,7,0.7632316377233056,0.694211483001709,0.4637625515460968
realmlp,kpx_group_2,7,0.7374222076991025,0.5237635374069214,0.572879433631897
realmlp,kpx_group_3,7,0.7965421141947017,0.7292628884315491,0.42354825139045715
realmlp,all,8,0.7268960265552297,0.5988559126853943,0.5418779253959656
realmlp,kpx_group_1,8,0.7232928959762349,0.6182310581207275,0.532901406288147
realmlp,kpx_group_2,8,0.6991259245311513,0.5479187965393066,0.5742893815040588
realmlp,kpx_group_3,8,0.758269239874447,0.6304178833961487,0.5184428691864014
realmlp,all,9,0.6822646207669202,0.549212634563446,0.5720720887184143
realmlp,kpx_group_1,9,0.6764969729325351,0.5856502056121826,0.5528106093406677
realmlp,kpx_group_2,9,0.6510075681349811,0.4871011972427368,0.60509192943573
realmlp,kpx_group_3,9,0.719289292307461,0.5748865604400635,0.5583137273788452
realmlp,all,10,0.653225410510512,0.5697230696678162,0.5654232501983643
realmlp,kpx_group_1,10,0.6458640685852837,0.5598354339599609,0.578341543674469
realmlp,kpx_group_2,10,0.6247100900201237,0.5200484991073608,0.5962998270988464
realmlp,kpx_group_3,10,0.6891020773088231,0.6292852163314819,0.5216284394264221
realmlp,all,11,0.628621806993204,0.5531101226806641,0.577857494354248
realmlp,kpx_group_1,11,0.6226901569787193,0.5455318689346313,0.5866515040397644
realmlp,kpx_group_2,11,0.6008942714508843,0.4913695752620697,0.6171433925628662
realmlp,kpx_group_3,11,0.6622809986857807,0.6224290132522583,0.5297775864601135
realmlp,all,12,0.6096812048379112,0.5348575115203857,0.5928354859352112
realmlp,kpx_group_1,12,0.606420148821438,0.5351603627204895,0.5966600179672241
realmlp,kpx_group_2,12,0.5839760969666874,0.4612496495246887,0.6402904391288757
realmlp,kpx_group_3,12,0.6386473792440751,0.6081625819206238,0.5415561199188232
realmlp,all,13,0.6005285531282425,0.5288360714912415,0.5969519019126892
realmlp,kpx_group_1,13,0.5978415660998401,0.5296310186386108,0.6014869213104248
realmlp,kpx_group_2,13,0.5751888874699088,0.46000632643699646,0.6404109001159668
realmlp,kpx_group_3,13,0.6285551812718896,0.596871018409729,0.5489578247070312
realmlp,all,14,0.5981313857962104,0.531865119934082,0.5954276919364929
realmlp,kpx_group_1,14,0.5966042113654754,0.5329050421714783,0.5999031066894531
realmlp,kpx_group_2,14,0.5739284552195493,0.46044376492500305,0.6407722234725952
realmlp,kpx_group_3,14,0.6238614732728285,0.6022464632987976,0.5456075668334961
realmlp,all,15,0.5986738879891003,0.533125102519989,0.5940404534339905
realmlp,kpx_group_1,15,0.5969744026660919,0.5463961958885193,0.5898290276527405
realmlp,kpx_group_2,15,0.5719626467017567,0.45431074500083923,0.6440814137458801
realmlp,kpx_group_3,15,0.6270846172290689,0.5986683964729309,0.5482110381126404
realmlp,all,16,0.6012451175381156,0.5356108546257019,0.5892360806465149
realmlp,kpx_group_1,16,0.5981985672431833,0.5625289678573608,0.5781324505805969
realmlp,kpx_group_2,16,0.573621037251809,0.4584592580795288,0.6376460790634155
realmlp,kpx_group_3,16,0.6319157533785876,0.5858443975448608,0.551929771900177
realmlp,all,17,0.6044165649834801,0.5338364243507385,0.5929443836212158
realmlp,kpx_group_1,17,0.6021556328324711,0.5253385901451111,0.6038535833358765
realmlp,kpx_group_2,17,0.576178590164465,0.47210928797721863,0.6313847899436951
realmlp,kpx_group_3,17,0.6349154815954321,0.6040612459182739,0.5435948967933655
realmlp,all,18,0.6124954398940591,0.5643934607505798,0.570806086063385
realmlp,kpx_group_1,18,0.6086610476760304,0.6046027541160583,0.5469013452529907
realmlp,kpx_group_2,18,0.583076702321277,0.4667922556400299,0.634002685546875
realmlp,kpx_group_3,18,0.6457485670552534,0.6217855215072632,0.5315144062042236
realmlp,all,19,0.6150134775568458,0.534828245639801,0.5881043076515198
realmlp,kpx_group_1,19,0.610006463878295,0.5178086161613464,0.607414722442627
realmlp,kpx_group_2,19,0.5845380206318462,0.46117815375328064,0.6311190128326416
realmlp,kpx_group_3,19,0.6504959718269461,0.6254980564117432,0.5257793068885803
realmlp,all,20,0.6165556530742085,0.5427623391151428,0.5850748419761658
realmlp,kpx_group_1,20,0.6123926744741552,0.5777871012687683,0.568679928779602
realmlp,kpx_group_2,20,0.5814223990720861,0.492360919713974,0.6163358688354492
realmlp,kpx_group_3,20,0.6558518742813784,0.5581390857696533,0.5702086687088013
realmlp,all,21,0.6143315127667259,0.5575794577598572,0.5767173767089844
realmlp,kpx_group_1,21,0.6071878943373176,0.5974704027175903,0.5543985962867737
realmlp,kpx_group_2,21,0.5768390280358932,0.4585394859313965,0.6368769407272339
realmlp,kpx_group_3,21,0.6589676246923559,0.6167286038398743,0.5388767123222351
realmlp,all,22,0.6079544442541459,0.5363438129425049,0.5926690101623535
realmlp,kpx_group_1,22,0.5926461807068657,0.49599897861480713,0.6213046312332153
realmlp,kpx_group_2,22,0.5768569707870483,0.5013890862464905,0.6153992414474487
realmlp,kpx_group_3,22,0.6543601646142847,0.6116433143615723,0.5413031578063965
realmlp,all,23,0.6042841199566337,0.5288255214691162,0.5973275303840637
realmlp,kpx_group_1,23,0.5893260065247031,0.5027283430099487,0.6178792715072632
realmlp,kpx_group_2,23,0.5711419336936053,0.47069239616394043,0.6343857049942017
realmlp,kpx_group_3,23,0.6523844178985146,0.6130558252334595,0.5397176742553711
realmlp,all,24,0.5940376379910637,0.5541188716888428,0.5768432021141052
realmlp,kpx_group_1,24,0.5838582691024331,0.548890233039856,0.5873696804046631
realmlp,kpx_group_2,24,0.5548608583562514,0.48293137550354004,0.6196925640106201
realmlp,kpx_group_3,24,0.6433937768725788,0.6305349469184875,0.5234673619270325
realmlp,all,25,0.5849851659115624,0.5228562951087952,0.5985586643218994
realmlp,kpx_group_1,25,0.58137467240586,0.48401907086372375,0.6317377090454102
realmlp,kpx_group_2,25,0.5457698334665859,0.45652174949645996,0.6396432518959045
realmlp,kpx_group_3,25,0.6278109795906964,0.628028154373169,0.5242949724197388
realmlp,all,26,0.5772128096398186,0.5355682969093323,0.5932871699333191
realmlp,kpx_group_1,26,0.5620029025218066,0.5281453132629395,0.605734646320343
realmlp,kpx_group_2,26,0.5372420321492588,0.4629654288291931,0.6372371315956116
realmlp,kpx_group_3,26,0.6323935056433958,0.6155940294265747,0.5368896722793579
realmlp,all,27,0.5713352490873898,0.5336746573448181,0.5916323661804199
realmlp,kpx_group_1,27,0.5634538399822572,0.5545300245285034,0.5837491154670715
realmlp,kpx_group_2,27,0.5333506351008135,0.4586947560310364,0.6386656165122986
realmlp,kpx_group_3,27,0.6172012599075541,0.5877991318702698,0.5524824261665344
realmlp,all,28,0.56101773240987,0.5269992351531982,0.5989921689033508
realmlp,kpx_group_1,28,0.5539203207282459,0.5271744728088379,0.6039328575134277
realmlp,kpx_group_2,28,0.5257343982948977,0.44978493452072144,0.6484900116920471
realmlp,kpx_group_3,28,0.6033984817126218,0.6040382981300354,0.544553816318512
