model,target,step,train_loss,validation_loss,validation_score,validation_nmae,validation_ficr,training_objective_loss,activity_train_loss,activity_validation_loss,boundary_consistency_train_loss,boundary_consistency_validation_loss
realmlp,all,1,1.010929219862994,0.716865062713623,0.4335196316242218,0.28173479437828064,0.14877404272556305,1.1359244707752676,0.8333016239544925,0.5660881400108337,0.0,
realmlp,kpx_group_1,1,1.0212512323085,0.6876161694526672,0.46399790048599243,0.24754615128040314,0.1755419373512268,,,,,
realmlp,kpx_group_2,1,1.0046796789940666,0.7083500027656555,0.43543314933776855,0.2797549068927765,0.15062116086483002,,,,,
realmlp,kpx_group_3,1,1.0068567666937323,0.7546290159225464,0.4011278450489044,0.3179033398628235,0.12015902996063232,,,,,
realmlp,all,2,0.9509792319115471,0.741019070148468,0.44430699944496155,0.3190651535987854,0.20767919719219208,1.0330590404131834,0.5471987229059724,0.4989050328731537,0.0,
realmlp,kpx_group_1,2,0.9420538036262288,0.7210447788238525,0.41954267024993896,0.34108826518058777,0.1801736056804657,,,,,
realmlp,kpx_group_2,2,0.9538271199254429,0.699985146522522,0.4372544288635254,0.2908312678337097,0.1653400957584381,,,,,
realmlp,kpx_group_3,2,0.9570567949729807,0.8020274043083191,0.47612395882606506,0.3252759873867035,0.277523934841156,,,,,
realmlp,all,3,0.9360132164814893,0.6959250569343567,0.4509180784225464,0.25736546516418457,0.15920154750347137,1.0038798845866148,0.45244451875195785,0.4685409367084503,0.0,
realmlp,kpx_group_1,3,0.9341096588793922,0.6859143376350403,0.4617583751678467,0.2421714812517166,0.16568823158740997,,,,,
realmlp,kpx_group_2,3,0.9151644733022241,0.6357402205467224,0.5138839483261108,0.18805170059204102,0.21581953763961792,,,,,
realmlp,kpx_group_3,3,0.9587654988555347,0.7661207318305969,0.3771118223667145,0.3418732285499573,0.09609688818454742,,,,,
realmlp,all,4,0.9040908410268671,0.7096220850944519,0.4464503228664398,0.24265198409557343,0.1355525404214859,0.9696478344061795,0.4370465822079602,0.43335044384002686,0.0,
realmlp,kpx_group_1,4,0.8846041183261311,0.6346503496170044,0.5215966105461121,0.16981914639472961,0.21301233768463135,,,,,
realmlp,kpx_group_2,4,0.8901858592734617,0.7765895128250122,0.3800746500492096,0.30692753195762634,0.06707683950662613,,,,,
realmlp,kpx_group_3,4,0.937482541974853,0.7176263332366943,0.43767958879470825,0.2512092888355255,0.12656845152378082,,,,,
realmlp,all,5,0.8652268762097639,0.6624849438667297,0.5128263235092163,0.21775253117084503,0.24340522289276123,0.926424742621534,0.40798569908913446,0.45684072375297546,0.0,
realmlp,kpx_group_1,5,0.8540226457750096,0.6051802039146423,0.5405590534210205,0.1693350076675415,0.2504531741142273,,,,,
realmlp,kpx_group_2,5,0.8543627007919199,0.6773033142089844,0.47368475794792175,0.22430317103862762,0.17167271673679352,,,,,
realmlp,kpx_group_3,5,0.8872953074819901,0.7049713730812073,0.5242351293563843,0.25961944460868835,0.3080897629261017,,,,,
realmlp,all,6,0.8137138161589118,0.6754648089408875,0.4809010326862335,0.20918934047222137,0.1709914207458496,0.8734151834950727,0.3980091236093465,0.4331222474575043,0.0,
realmlp,kpx_group_1,6,0.8030138243647182,0.7275183200836182,0.4310856759548187,0.25011375546455383,0.1122850850224495,,,,,
realmlp,kpx_group_2,6,0.7885629797683043,0.6554174423217773,0.5023100972175598,0.18878571689128876,0.19340592622756958,,,,,
realmlp,kpx_group_3,6,0.8495646162944681,0.6434584856033325,0.509307324886322,0.18866854906082153,0.20728324353694916,,,,,
realmlp,all,7,0.759141157655155,0.5878204703330994,0.5564789175987244,0.1847659796476364,0.29772382974624634,0.8164143220466726,0.38182104072150064,0.5132948756217957,0.0,
