model,target,step,train_loss,validation_loss,validation_score,validation_nmae,validation_ficr,training_objective_loss,activity_train_loss,activity_validation_loss,boundary_consistency_train_loss,boundary_consistency_validation_loss
realmlp,all,1,1.0191415029543418,0.7364646792411804,0.42058229446411133,0.29496511816978455,0.13612975180149078,1.1498002189177055,0.871057986109345,0.5227458477020264,0.0,
realmlp,kpx_group_1,1,1.0347733011952154,0.7453961968421936,0.40083909034729004,0.3160106837749481,0.11768888682126999,,,,,
realmlp,kpx_group_2,1,1.0141115817758772,0.7022846341133118,0.4663256108760834,0.25374138355255127,0.1863926202058792,,,,,
realmlp,kpx_group_3,1,1.008539652382886,0.7617131471633911,0.39458221197128296,0.31514328718185425,0.10430770367383957,,,,,
realmlp,all,2,0.9815723035070631,0.655859112739563,0.5048256516456604,0.22979725897312164,0.23944862186908722,1.0708798125938133,0.5953834906772331,0.3751860558986664,0.0,
realmlp,kpx_group_1,2,0.9767091152844606,0.6759809851646423,0.5317035913467407,0.20095250010490417,0.2643597424030304,,,,,
realmlp,kpx_group_2,2,0.9600589418852771,0.5977137684822083,0.5292969346046448,0.22362834215164185,0.282222181558609,,,,,
realmlp,kpx_group_3,2,1.0079488489362929,0.6938825845718384,0.45347654819488525,0.2648109495639801,0.17176398634910583,,,,,
realmlp,all,3,0.9802230762110816,0.7887908816337585,0.4305373430252075,0.30930060148239136,0.1703752726316452,1.0535788977587666,0.4890387378357075,0.3261559307575226,0.0,
realmlp,kpx_group_1,3,0.9674972317836903,0.6651091575622559,0.49414777755737305,0.23536431789398193,0.22365984320640564,,,,,
realmlp,kpx_group_2,3,0.9458854143266324,0.7002360820770264,0.45226389169692993,0.2433231770992279,0.14785100519657135,,,,,
realmlp,kpx_group_3,3,1.0272865979759782,1.0010274648666382,0.3452003300189972,0.4492143392562866,0.139614999294281,,,,,
realmlp,all,4,0.9582795169618394,0.6536235213279724,0.48182597756385803,0.2609606385231018,0.22461269795894623,1.0257258647018008,0.4496423144031454,0.31203293800354004,0.0,
realmlp,kpx_group_1,4,0.9446045524544187,0.7096123099327087,0.44825512170791626,0.2438417375087738,0.1403520256280899,,,,,
realmlp,kpx_group_2,4,0.9248814638014193,0.5648328065872192,0.5678184032440186,0.1954050064086914,0.3310418725013733,,,,,
realmlp,kpx_group_3,4,1.005352541252419,0.6864253878593445,0.42940449714660645,0.3436351716518402,0.2024441808462143,,,,,
realmlp,all,5,0.9329132272137536,0.6825676560401917,0.46955642104148865,0.24559368193149567,0.18470646440982819,0.9981533840850547,0.43493438815629043,0.30543652176856995,0.0,
realmlp,kpx_group_1,5,0.9274129856515814,0.7646764516830444,0.3912838399410248,0.2956721782684326,0.07823984324932098,,,,,
realmlp,kpx_group_2,5,0.8961396802354742,0.6397877931594849,0.5237002968788147,0.20493026077747345,0.25233080983161926,,,,,
realmlp,kpx_group_3,5,0.9751870135466257,0.6432387232780457,0.4936850965023041,0.23617863655090332,0.22354882955551147,,,,,
realmlp,all,6,0.8911408185958862,0.7009138464927673,0.4433962404727936,0.28133612871170044,0.1681286245584488,0.9536815638895388,0.4169383242174431,0.30409708619117737,0.0,
realmlp,kpx_group_1,6,0.8955628607008193,0.8600081205368042,0.28798070549964905,0.4306655526161194,0.006626949645578861,,,,,
realmlp,kpx_group_2,6,0.854048369107423,0.5838197469711304,0.5527788400650024,0.1995697021484375,0.3051273226737976,,,,,
realmlp,kpx_group_3,6,0.9238112182528885,0.6589136719703674,0.4894292950630188,0.21377314627170563,0.19263169169425964,,,,,
realmlp,all,7,0.8475667205121782,0.593967080116272,0.5354692339897156,0.20890527963638306,0.27984368801116943,0.9056389111059683,0.3871479453863921,0.29508766531944275,0.0,
realmlp,kpx_group_1,7,0.8296713497903612,0.5873178243637085,0.552275538444519,0.17405198514461517,0.2786030173301697,,,,,
realmlp,kpx_group_2,7,0.8154516540191792,0.4942997097969055,0.5999060869216919,0.21852117776870728,0.41833341121673584,,,,,
realmlp,kpx_group_3,7,0.8975771731800504,0.7002836465835571,0.454226016998291,0.23414261639118195,0.14259465038776398,,,,,
realmlp,all,8,0.7945045453530771,0.7008211016654968,0.4555716812610626,0.22973982989788055,0.14088314771652222,0.8507173966478419,0.37475238574875724,0.2982533872127533,0.0,
realmlp,kpx_group_1,8,0.7729616661866506,0.6842701435089111,0.4773595333099365,0.19716718792915344,0.1518862098455429,,,,,
realmlp,kpx_group_2,8,0.7703305769849706,0.6566625833511353,0.4964033365249634,0.19261880218982697,0.18542543053627014,,,,,
realmlp,kpx_group_3,8,0.8402213906800305,0.7615306377410889,0.39295220375061035,0.2994334101676941,0.08533784002065659,,,,,
realmlp,all,9,0.7522785696718428,0.6484746336936951,0.5059725642204285,0.18363596498966217,0.19558101892471313,0.8059458567036523,0.35778193341361153,0.2873633801937103,0.0,
realmlp,kpx_group_1,9,0.7417655256059434,0.6084572672843933,0.5401799082756042,0.1619270145893097,0.242286816239357,,,,,
realmlp,kpx_group_2,9,0.7085739583880813,0.6282132863998413,0.5265529155731201,0.160785973072052,0.21389175951480865,,,,,
