wind_feature,target,wind_bin,n,mean,q10,q50,q90,inactive_rate,normal_rate,q10_q90_spread,ambiguous
gfs__ws100__mean,kpx_group_1,0.0,12,0.019808722993827164,0.0,0.006361111111111112,0.0524959212962963,1.0,0.0,0.0524959212962963,False
gfs__ws100__mean,kpx_group_1,0.5,540,0.018876255144032923,0.0,0.0006695833333333333,0.060999694444444454,0.9537037037037037,0.0,0.060999694444444454,False
gfs__ws100__mean,kpx_group_1,1.0,2043,0.042578491506680444,0.0,0.010043842592592592,0.1203923796296296,0.8668624571708272,0.007342143906020558,0.1203923796296296,False
gfs__ws100__mean,kpx_group_1,1.5,2967,0.0856053692469011,0.0,0.03280995370370371,0.24908773148148147,0.7054263565891473,0.03741152679474216,0.24908773148148147,False
gfs__ws100__mean,kpx_group_1,2.0,3440,0.14301755355027992,0.0,0.06796344907407408,0.4078476527777777,0.5729651162790698,0.1058139534883721,0.4078476527777777,True
gfs__ws100__mean,kpx_group_1,2.5,3159,0.2340555255120584,0.0006695833333333333,0.15400583333333331,0.5999531944444444,0.4165875276986388,0.23045267489711935,0.5992836111111111,True
gfs__ws100__mean,kpx_group_1,3.0,2749,0.31633469064508307,0.003347962962962963,0.23837425925925926,0.7660117129629629,0.32957439068752276,0.36413241178610406,0.76266375,True
gfs__ws100__mean,kpx_group_1,3.5,2405,0.37577927972202974,0.008035092592592592,0.31738597222222226,0.8347117037037037,0.26902286902286904,0.4390852390852391,0.8266766111111111,True
gfs__ws100__mean,kpx_group_1,4.0,1872,0.4284103173967236,0.01740935185185185,0.40075000000000005,0.8831900462962963,0.2142094017094017,0.5010683760683761,0.8657806944444444,True
gfs__ws100__mean,kpx_group_1,4.5,1377,0.43694898444014096,0.0295959074074074,0.4285380092592593,0.8890824722222224,0.19172113289760348,0.5185185185185185,0.859486564814815,True
gfs__ws100__mean,kpx_group_1,5.0,1073,0.47585055050740394,0.057049111111111106,0.4894707407407407,0.9066257407407409,0.14818266542404473,0.5731593662628145,0.8495766296296298,True
gfs__ws100__mean,kpx_group_1,5.5,738,0.49394014158636956,0.0716462037037037,0.529311412037037,0.8619640231481482,0.11653116531165311,0.6287262872628726,0.7903178194444446,True
gfs__ws100__mean,kpx_group_1,6.0,598,0.5361719079803047,0.10653186574074075,0.57450875,0.8974523379629634,0.09364548494983277,0.6739130434782609,0.7909204722222227,False
gfs__ws100__mean,kpx_group_1,6.5,498,0.5650161812063067,0.14597074074074073,0.6277412268518519,0.8791725,0.08433734939759036,0.7389558232931727,0.7332017592592592,False
gfs__ws100__mean,kpx_group_1,7.0,442,0.5866886560457517,0.2539757453703704,0.6190365509259259,0.8805117129629629,0.04751131221719457,0.7782805429864253,0.6265359675925926,False
gfs__ws100__mean,kpx_group_1,7.5,316,0.6335662437001875,0.33814328703703705,0.6759517592592592,0.8741506018518519,0.00949367088607595,0.8259493670886076,0.5360073148148148,False
gfs__ws100__mean,kpx_group_1,8.0,327,0.6425182949654548,0.34738362962962965,0.6669122685185185,0.8779672500000001,0.01529051987767584,0.8776758409785933,0.5305836203703704,False
gfs__ws100__mean,kpx_group_1,8.5,270,0.6679290651577504,0.4557234027777778,0.6947002777777778,0.8913590555555555,0.003703703703703704,0.9111111111111111,0.4356356527777777,False
gfs__ws100__mean,kpx_group_1,9.0,244,0.6810038710534303,0.40717808333333333,0.7198099537037037,0.893769587962963,0.012295081967213115,0.9139344262295082,0.4865915046296297,False
gfs__ws100__mean,kpx_group_1,9.5,224,0.6802054472552909,0.4662359675925926,0.6973786574074075,0.8946400601851852,0.026785714285714284,0.9241071428571429,0.42840409259259254,False
gfs__ws100__mean,kpx_group_1,10.0,162,0.6762824165523548,0.4411263194444444,0.6806388888888889,0.8996619814814815,0.018518518518518517,0.9259259259259259,0.45853566203703705,False
gfs__ws100__mean,kpx_group_1,10.5,129,0.7096518873815676,0.5729017592592593,0.7024006018518518,0.887207611111111,0.007751937984496124,0.9767441860465116,0.31430585185185167,False
gfs__ws100__mean,kpx_group_1,11.0,127,0.7188134656605424,0.5229502777777778,0.7231579166666666,0.8967157962962964,0.007874015748031496,0.9763779527559056,0.3737655185185186,False
gfs__ws100__mean,kpx_group_1,11.5,76,0.7055723300438597,0.5537514583333334,0.7060833333333333,0.8791725231481482,0.0,0.9736842105263158,0.3254210648148148,False
gfs__ws100__mean,kpx_group_1,12.0,78,0.6555893328584995,0.4973049583333334,0.661220763888889,0.8507149120370371,0.0,0.9487179487179487,0.3534099537037037,False
gfs__ws100__mean,kpx_group_1,12.5,48,0.7053160966435185,0.537480412037037,0.7080921064814816,0.8993272037037037,0.0,0.9583333333333334,0.36184679166666667,False
gfs__ws100__mean,kpx_group_1,13.0,47,0.7359086081560282,0.5735713518518518,0.7432456018518518,0.8838596296296296,0.0,1.0,0.3102882777777778,False
gfs__ws100__mean,kpx_group_1,13.5,46,0.6849475573671499,0.45733039351851856,0.7024006018518518,0.9082996990740742,0.021739130434782608,0.9347826086956522,0.4509693055555556,False
gfs__ws100__mean,kpx_group_1,14.0,37,0.6847378703703704,0.4717935833333333,0.6736081944444444,0.9102415092592593,0.0,0.918918918918919,0.43844792592592596,False
gfs__ws100__mean,kpx_group_1,14.5,33,0.7187954082491582,0.4245204537037037,0.7713684259259259,0.9137233981481481,0.0,0.9090909090909091,0.48920294444444434,False
gfs__ws100__mean,kpx_group_1,15.0,22,0.6133450294612796,0.2694432777777778,0.6531856712962962,0.873012287037037,0.045454545454545456,0.8181818181818182,0.6035690092592592,False
gfs__ws100__mean,kpx_group_1,15.5,25,0.7472899462962963,0.569018138888889,0.753959074074074,0.8995280740740741,0.0,1.0,0.3305099351851851,False
gfs__ws100__mean,kpx_group_1,16.0,10,0.7424421064814815,0.6498377175925926,0.7244970833333333,0.8900868564814814,0.0,1.0,0.24024913888888888,False
gfs__ws100__mean,kpx_group_1,16.5,13,0.6062885719373219,0.31363626851851856,0.6789649074074074,0.852254962962963,0.0,0.8461538461538461,0.5386186944444444,False
gfs__ws100__mean,kpx_group_1,17.0,14,0.47225271164021165,0.17483010185185185,0.36794006944444446,0.8483043842592594,0.0,0.5,0.6734742824074075,False
gfs__ws100__mean,kpx_group_1,17.5,8,0.5942616956018518,0.1661924074074074,0.7365496990740741,0.8884128518518518,0.0,0.625,0.7222204444444444,False
gfs__ws100__mean,kpx_group_1,18.0,4,0.6401286574074074,0.3892330462962963,0.6749473611111112,0.8631693055555556,0.0,0.75,0.4739362592592593,False
gfs__ws100__mean,kpx_group_1,18.5,10,0.782014912037037,0.5970070277777778,0.8530584722222222,0.8929660833333333,0.0,1.0,0.29595905555555546,False
gfs__ws100__mean,kpx_group_1,19.0,7,0.6363024272486772,0.4305467870370371,0.6421374074074074,0.8715391851851853,0.0,0.8571428571428571,0.44099239814814817,False
gfs__ws100__mean,kpx_group_1,19.5,3,0.6041939660493827,0.5155848055555555,0.5798655092592593,0.7025345092592592,0.0,1.0,0.18694970370370367,False
gfs__ws100__mean,kpx_group_1,20.0,4,0.7355453125,0.570491212962963,0.802504375,0.847032162037037,0.0,1.0,0.276540949074074,False
gfs__ws100__mean,kpx_group_1,20.5,2,0.7700292361111112,0.7502093657407408,0.7700292361111112,0.7898491064814814,0.0,1.0,0.039639740740740614,False
gfs__ws100__mean,kpx_group_1,21.0,1,0.6722690277777778,0.6722690277777778,0.6722690277777778,0.6722690277777778,0.0,1.0,0.0,False
gfs__ws100__mean,kpx_group_2,0.0,12,0.014563595679012345,0.0,0.004687129629629629,0.039505828703703706,1.0,0.0,0.039505828703703706,False
gfs__ws100__mean,kpx_group_2,0.5,540,0.01854889986282579,0.0,0.0006695833333333333,0.05758481481481482,0.9462962962962963,0.0,0.05758481481481482,False
gfs__ws100__mean,kpx_group_2,1.0,2043,0.041308464970722075,0.0,0.008035092592592592,0.11516958333333334,0.8800783162016642,0.00978952520802741,0.11516958333333334,False
gfs__ws100__mean,kpx_group_2,1.5,2967,0.08166703823852502,0.0,0.02879240740740741,0.23368712962962962,0.7360970677451971,0.04179305695989215,0.23368712962962962,False
gfs__ws100__mean,kpx_group_2,2.0,3440,0.1432616430878553,0.0,0.0646154861111111,0.42458742129629623,0.5828488372093024,0.11598837209302326,0.42458742129629623,True
gfs__ws100__mean,kpx_group_2,2.5,3157,0.24487207617698467,0.0006695833333333333,0.1573537962962963,0.6461549537037037,0.4140006335128286,0.2597402597402597,0.6454853703703703,True
gfs__ws100__mean,kpx_group_2,3.0,2749,0.3419998150337496,0.00468712962962963,0.2758713425925926,0.786367240740741,0.3197526373226628,0.4045107311749727,0.7816801111111115,True
gfs__ws100__mean,kpx_group_2,3.5,2405,0.4123795780973281,0.010713472222222221,0.3863537962962963,0.8715391851851851,0.2661122661122661,0.49313929313929317,0.860825712962963,True
