model,target,step,train_loss,validation_loss,validation_score,validation_nmae,validation_ficr,training_objective_loss,activity_train_loss,activity_validation_loss,boundary_consistency_train_loss,boundary_consistency_validation_loss
realmlp,all,1,0.9693436894346686,0.12890282273292542,0.5393477082252502,0.18099935352802277,0.25969478487968445,1.096181125325315,0.8455829874557608,0.5501994490623474,0.0,
realmlp,kpx_group_1,1,1.026564689243541,0.13724175095558167,0.5198399424552917,0.17759495973587036,0.21727484464645386,,,,,
realmlp,kpx_group_2,1,0.9121111543739543,0.118696428835392,0.565265417098999,0.18722927570343018,0.3177601397037506,,,,,
realmlp,kpx_group_3,1,0.9693551940076491,0.13077029585838318,0.53293776512146,0.17817385494709015,0.2440493106842041,,,,,
realmlp,all,2,0.3871856704354286,0.09922367334365845,0.5797950625419617,0.15794627368450165,0.31753650307655334,0.4662347479778178,0.5269937865874347,0.4281168282032013,0.0,
realmlp,kpx_group_1,2,0.4223700468154514,0.09227817505598068,0.5725972056388855,0.15036317706108093,0.29555758833885193,,,,,
realmlp,kpx_group_2,2,0.350534099208958,0.08850762248039246,0.629925012588501,0.1600797027349472,0.4199296832084656,,,,,
realmlp,kpx_group_3,2,0.38865287163678336,0.11688520759344101,0.5368632078170776,0.16339589655399323,0.23712225258350372,,,,,
realmlp,all,3,0.20292828823713696,0.09341051429510117,0.5864335894584656,0.15382100641727448,0.32668814063072205,0.25837796203353824,0.3696644801427336,0.42776310443878174,0.0,
realmlp,kpx_group_1,3,0.21389388490249128,0.08906178921461105,0.5746736526489258,0.14117512106895447,0.29052242636680603,,,,,
realmlp,kpx_group_2,3,0.18098886179573395,0.0860438197851181,0.6420326828956604,0.15760284662246704,0.44166818261146545,,,,,
realmlp,kpx_group_3,3,0.21390211494529948,0.10512593388557434,0.5425943732261658,0.16268500685691833,0.24787376821041107,,,,,
realmlp,all,4,0.1575799100100994,0.09379252046346664,0.5860199332237244,0.14843623340129852,0.32047608494758606,0.20628918641630342,0.32472850469981923,0.4200266897678375,0.0,
realmlp,kpx_group_1,4,0.1618766011122395,0.08915212750434875,0.5697542428970337,0.13618502020835876,0.27569347620010376,,,,,
realmlp,kpx_group_2,4,0.13964903014985955,0.08608172833919525,0.6386808156967163,0.15807411074638367,0.43543577194213867,,,,,
realmlp,kpx_group_3,4,0.17121409953517072,0.10614368319511414,0.5496247410774231,0.15104953944683075,0.2502990663051605,,,,,
realmlp,all,5,0.13422003169270122,0.08608731627464294,0.6148721575737,0.14622817933559418,0.3759724795818329,0.18098635270315058,0.31177546960466046,0.4079674780368805,0.0,
realmlp,kpx_group_1,5,0.13630681780769544,0.07438726723194122,0.631496012210846,0.13042540848255157,0.3934174180030823,,,,,
realmlp,kpx_group_2,5,0.11774546795469873,0.08534324169158936,0.6550987958908081,0.15663056075572968,0.46682822704315186,,,,,
realmlp,kpx_group_3,5,0.1486078055904192,0.09853141754865646,0.558021605014801,0.1516285389661789,0.2676717936992645,,,,,
realmlp,all,6,0.11915371906669701,0.08706355839967728,0.6103922724723816,0.14328305423259735,0.3640676438808441,0.164156494771733,0.30001850470023994,0.3974163830280304,0.0,
