model,target,step,train_loss,validation_loss,validation_score,training_objective_loss,activity_train_loss,activity_validation_loss,domain_train_loss,domain_train_accuracy,domain_validation_loss,domain_validation_accuracy
realmlp,all,1,1.0204706192016602,0.7140083312988281,0.4339437186717987,2.1138867751548163,0.8494207137509396,0.5259535908699036,0.9660030226958426,0.49564401726973684,0.629058301448822,0.7353479862213135
realmlp,kpx_group_1,1,1.0099477611090009,0.671868622303009,0.47951576113700867,,,,,,,
realmlp,kpx_group_2,1,1.015426010677689,0.6947454214096069,0.4521409571170807,,,,,,,
realmlp,kpx_group_3,1,1.0360380646429563,0.7754108905792236,0.3701744079589844,,,,,,,
realmlp,all,2,0.9673033058643341,0.7180251479148865,0.4471071660518646,1.8474993297928257,0.5579925497111521,0.41884875297546387,0.7964971434128912,0.5439710115131579,0.5136611461639404,0.916208803653717
realmlp,kpx_group_1,2,0.9614275199802298,0.7423849701881409,0.41068828105926514,,,,,,,
realmlp,kpx_group_2,2,0.9393464162161476,0.6480423808097839,0.4774896204471588,,,,,,,
realmlp,kpx_group_3,2,1.0011359649269205,0.7636481523513794,0.4531436264514923,,,,,,,
realmlp,all,3,0.9505718358253178,0.744306743144989,0.4291621744632721,1.7464568332621926,0.4521131715492198,0.3884423077106476,0.7280680082346264,0.572130705180921,0.615744948387146,0.7916666865348816
realmlp,kpx_group_1,3,0.9367118924856186,0.6501381397247314,0.4954659044742584,,,,,,,
realmlp,kpx_group_2,3,0.9029016824145066,0.8398504257202148,0.3934270739555359,,,,,,,
realmlp,kpx_group_3,3,1.0121019364971864,0.7429317235946655,0.3985934555530548,,,,,,,
realmlp,all,4,0.9199375651384655,0.751386821269989,0.4078923761844635,1.6897016842114299,0.41951632107559006,0.37951144576072693,0.7068366800483904,0.553576017680921,0.6847959160804749,0.5975274443626404
realmlp,kpx_group_1,4,0.9057700414406625,0.8983047604560852,0.23577681183815002,,,,,,,
realmlp,kpx_group_2,4,0.8854847166099047,0.6582524180412292,0.465285062789917,,,,,,,
realmlp,kpx_group_3,4,0.9685579295221128,0.6976033449172974,0.5226151943206787,,,,,,,
realmlp,all,5,0.8878690286686546,0.7357935905456543,0.4545374810695648,1.636626529066186,0.40176687507252945,0.3835519850254059,0.688492446353561,0.5576942845394737,0.6392745971679688,0.7843406796455383
